ID;Ganancia;Online;CategoriaEdad;CategoriaIngresos;Permanencia;Municipio
1;21;0;;;6.33;Salsipuedes
2;-6;0;6;3;29.5;Salsipuedes
3;-49;1;5;5;26.41;Losmochis
4;-4;0;;;2.25;Salsipuedes
5;-61;0;2;9;9.91;Salsipuedes
6;-38;0;;3;2.33;Macumba
7;-19;0;3;1;8.41;Macumba
8;59;0;5;8;7.33;Salsipuedes
9;493;0;4;9;15.33;Salsipuedes
10;-158;0;6;8;4.33;Losmochis
11;395;0;6;3;13.5;Salsipuedes
12;-62;0;6;1;6.25;Salsipuedes
13;-124;0;7;6;17.41;Salsipuedes
14;32;0;;;0.58;Salsipuedes
15;-28;0;4;9;14.66;Salsipuedes
16;632;0;4;7;26.66;Losmochis
17;-135;1;3;8;9;Salsipuedes
18;-60;0;;5;9.41;Salsipuedes
19;-92;0;3;7;4.16;Salsipuedes
20;68;0;4;8;22.16;Salsipuedes
21;26;0;4;7;8.66;Macumba
22;-28;0;;;2.41;Salsipuedes
23;-6;0;3;4;4.75;Salsipuedes
24;43;0;;;6.83;Losmochis
25;698;0;4;6;18.91;Macumba
26;-50;0;;;1.66;Salsipuedes
27;-27;0;4;6;8.66;Salsipuedes
28;-14;1;;;6.33;Salsipuedes
29;-36;0;;;4.83;Salsipuedes
30;14;1;4;3;22.5;Macumba
31;-18;0;6;7;8.41;Salsipuedes
32;-130;0;5;8;6.25;Salsipuedes
33;-71;0;7;3;14.08;Salsipuedes
34;291;0;4;6;29.5;Salsipuedes
35;7;0;4;;5;Salsipuedes
36;-32;0;2;1;2.5;Salsipuedes
37;533;0;;;31.83;Salsipuedes
38;88;0;4;7;8.58;Salsipuedes
39;-162;0;;;4.33;Salsipuedes
40;900;0;2;6;6.58;Salsipuedes
41;383;0;;;13.83;Salsipuedes
42;-95;1;4;4;20.41;Macumba
43;88;1;4;7;17.91;Salsipuedes
44;-49;0;2;7;6.16;Salsipuedes
45;-8;0;;;2.5;Salsipuedes
46;32;0;5;6;8.75;Salsipuedes
47;259;0;;;0.16;Salsipuedes
